排名,字詞,出現次數
,學者研究,1
,有比較細節準確的npo,1
,監外執行,1
,減碳生活再發現,1
,kamaro'an,1
,公民參與媒體改造聯盟,1
,還地給原民吧,1
,棲地ˍ是我的宗教信仰,1
,鉤織雙曲幾何之美,1
,環資網站改版上線囉,1
,陝西數千民師集會隊伍持續壯大,1
,ngo數位資源,1
,明天過後豆陣行,1
,大法官解釋給你聽,1
,魔鬼就藏在細節裡,1
,帶您一次看懂六大爭議,1
,帶領男孩看見自己,1
,核三廠演練斷然處置,1
,空污早產每年270萬例,1
,金門料羅港擬以海砂提圍堤造地,1
,黑熊森林,1
,精障性少數的人生故事,1
,東江水統包制,1
,基改食品的秘密,1
,就是在為淡江大學大規模解雇兼任教師合法化,1
,就要滿滿的,1
,大馬ioi集團拿回永續棕櫚證照,1
,上下交相賊,1
,新埤鄉自主護水加碼糞肥再利用,1
,通過51項提案,1
,社團法人台灣基地協會106年度少數性別者之處遇知能專業人員訓練,1
,革命,1
,pledge,1
,孕前吸入二手煙,1
,惡建商的尚方寶劍,1
,恩納爾斯人權獎,1
,促汰換烏賊車,1
,台化訴願案落幕,1
,個案評鑑制度與法官,1
,15縣市未公開,1
,我們應該來了解一點硬但重要的資訊安全檢查要點,1
,在數位工具使用狀況的調查研究,1
,219反空污找藍天大遊行,1
,公務員懲處處分的司法審查標準,1
,ㄅㄧㄝ,1
,從過勞之島變成勞動之王,1
,張宗成先生石藝展開幕典禮,1
,願恁平安,1
,從長計議,1
,警察可以進入房子內臨檢及搜索嗎,1
,羨慕翡翠水庫優水質,1
,1400,1
,公開,1
,也遇見優游白海豚,1
,台灣僑務咨詢委員批評蔡英文無能,1
,綠電感恩賞,1
,核一2號機降載延時運轉案審查,1
,兼顧森林養護和糧食安全,1
,年了,1
,在大陸被捕,1
,底渣只能二選一,1
,沒收錢未必沒事,1
,挪威殺人魔告政府,1
,籲市議會支持反核食公投,1
,回應馬提斯,1
,加國,1
,下一代幸福聯盟發動公投記者會會後新聞稿,1
,針對衛福部,1
,開礦卻成低碳阻礙,1
,20170325台北共學團聯合座談,1
,幸福盟支持保障同性戀者基本權益,1
,請大法官審慎進行同性婚姻相關之事實調查,1
,櫃裡風暴,1
,協商中,1
,為救混獲海龜,1
,則要包括資料庫與相應軟體版本等能配合支援,1
,兩年內將規劃十座以上的自然生態公園,1
,為婚姻平權站出來音樂會,1
,拆除集集攔河堰,1
,2017年第一季工作報告,1
,燃氣新時代,1
,不要搶會長,1
,怪獸的產地到底在哪裡,1
,illegal,1
,美國塑膠工人尿液,1
,保育類動物新增199種,1
,吃一片風土,1
,不見實質減量,1
,與您一起共創無限可能,1
,撤銷亞泥展延礦權,1
,葉菊蘭籲徹底公布真相,1
,水電站將成致命一擊,1
,美佛州小鎮禁施放氣球,1
,我願你看見壯闊冰川,1
,氣候變遷時代的新顯學,1
,重啟文化動力,1
,一體適用,1
,反思法官維持審判秩序之兩難,1
,國際審查之後,1
,美晴,1
,日本電視也是從低能開始,1
,小英喊出,1
,毒死瀕危草鴞,1
,展現出版實力,1
,居無定所,1
,環境部長遭礦商控不適任,1
,要財不能怕髒,1
,不只提前期程,1
,颱風,1
,主婦一起站出來,1
,3野生動物,1
,氣候研究,1
,蠻野心足感恩茶會,1
,飄泊,1
,代投票及代寫票選民家中坐等票箱,1
,邱文彥,1
,黃之鋒被拒入境泰國,1
,中國軍機繞蘭嶼,1
,高士部落發聲明打臉,1
,街頭行動,1
,台灣多單位表示仍在查證中,1
,311反核遊行照片,1
,陪審團推動聯盟,1
,一石二鳥,1
,ya障眾大隊,1
,假公聽,1
,綠色隧道,1
,司法願景,1
,勿消費與公審,1
,勞基法修正案,1
,與廢死聯盟的交集,1
,動能不足的,1
,人,1
,陸蟹廊道,1
,獵人非常上訴直播,1
,好油小旅行,1
,廢話電子報第89期,1
,警察有效咎責,1
,傾斜的姿態,1
,保育犀牛是一場戰爭,1
,收容海龜每天排出新垃圾,1
,20161022,1
,台灣符合who憲章,1
,在柿子樹上,1
,我可以上訴嗎,1
,借物館,1
,volunteers,1
,青年團體夜襲總統官邸,1
,曲家瑞,1
,董事談公視,1
,法源具備的開發亂象,1
,聲學,1
,搶救團,1
,天倫,1
,民進黨籲勿設政治前提,1
,蔡英文籲理性對話求解,1
,要求內政部擴大公民社會參與,1
,同一家電鍍廠累犯,1
,climatechange,1
,主動,1
,卻回收不到一半,1
,中國記協書記季星星今率團抵台灣進行參訪交流,1
,環團縣市環保期中考,1
,林荣基再次申请赴台,1
,2015,1
,2014,1
,機場百警維安,1
,二行程機車引反彈,1
,真言論自由,1
,達魯瑪克綠能百分百計畫,1
,胡耀邦遺孀李昭逝世,1
,超時,1
,第13期,1
,堅持彰銀永續經營,1
,應首重復育生態,1
,新社部落發起海洋監測,1
,連三天紫爆,1
,來趟北京臭黑河之旅,1
,一顆待在孩子鼻孔裡的種子,1
,公立收容所,1
,保障檢察官獨立,1
,拆的開發邏輯,1
,支那,1
,採種,1
,society,1
,韓國經濟,1
,管制,1
,受暴婦女服務,1
,迴避,1
,特朗普未向華裔拜年,1
,無懼濫訴打壓,1
,我們要怎樣的生活,1
,4月台中場,1
,動物性食材大量添加抗生素,1
,台北植物園,1
,過境金門田園的八聲杜鵑,1
,汰除不適任教師為頭號任務,1
,長安西路被偷拆案的屋主張先生之聲明,1
,新疆喀什啟動反恐嚴打,1
,律師李和平王全璋遭酷刑曝光,1
,何謂,1
,車禍死,1
,團體場外記者會,1
,假,1
,暖化重創生態,1
,高教工會於國家年金改革委員會第二十次會議提案,1
,鎧甲無用武之地,1
,受邀參加高峰會,1
,花田,1
,海協會重提,1
,遼寧突擊,1
,檢察制度改革的熱鬧與門道,1
,陳慈美發言人發言,1
,沿海居民批限制太多,1
,欲稱霸電動車市場,1
,社會福利和保育的發展,1
,自燃,1
,16年,1
,官媒指戴耀廷等人,1
,人熊衝突難解,1
,葉菊蘭,1
,遊民家當非棄物,1
,盡速通過難民法,1
,殼牌開首例,1
,日本新高壓電力公司消費者激增,1
,台灣工鬥團體拒砍七天假立法院前絕食行動,1
,政治談判強制公投,1
,香港議員關注內地禽流感疫情,1
,系列專題之一,1
,首位閣員表態挺婚姻平權,1
,極北林區的,1
,環評委員陣前倒戈,1
,勿忽視物聯網資安,1
,珊瑚礁體檢志工,1
,在此之前,1
,智障者家長總會感謝您的支持,1
,反對梁振英連任,1
,改良劣化地,1
,今為,1
,譴責華夏科大副校長對教師之辱罵與暴力行為,1
,相連棲地不分離,1
,非洲45國達共識,1
,公民團體號召萬聖節上街抓鬼,1
,環署4億補助旅館,1
,同性婚姻關我什麼事,1
,陳菊,1
,日本女詩人森井香衣,1
,香港眾志成員被捕,1
,面對美國,1
,環境訴訟里程碑,1
,妳是不是我們要的人吧,1
,搶救台中黎明幼兒園,1
,鄱陽湖將建水閘,1
,813,1
,環保茶坊座談會,1
,蔡政府比馬政府,1
,還缺法源,1
,行不行,1
,器官捐贈去向成謎,1
,時光是獵,1
,lgbt友善場,1
,拆穿了,1
,財團人人喊打,1
,saif,1
,豬肉的秘密,1
,南投,1
,11無菌身分證移盟記者會採訪通知,1
,新車,1
,純污水製冰所,1
,追思禮拜講章,1
,田裡學,1
,守護白海豚,1
,遭法庭駁回,1
,美環署放行農藥陶斯松,1
,韓若核災,1
,金錢誘心的假民意,1
,拒絕核廢料進駐,1
,獲利,1
,黨國監委,1
,婦聯會違法徵稅和逃稅,1
,亞泥不是太魯閣族土地的主人,1
,洩密案開庭,1
,他在想什麼,1
,資源連結,1
,11月兩場綠盟講座,1
,修法後,1
,效應,1
,無法定時服藥健康受損,1
,溫柔的守護,1
,新南向綠電契機,1
,被五次延期,1
,共同籲朝鮮自制,1
,家電,1
,熱線愛滋小組義工,1
,當局介入,1
,二二八事件暨林家祖孫受難,1
,來自惡地的警訊,1
,綠島海底油污聚成三大塊,1
,進政黨協商,1
,中共官員,1
,第888期,1
,洪秀柱爭取連任,1
,虧一下又不會怎樣,1
,h,1
,爭議老舊危險重建條例初審完成,1
,中國成立國家社會組織管理局嚴限境外ngo,1
,共享取代購買,1
,同性戀家庭子女較易出現跨性別行為,1
,前民進黨黨工李明哲因涉嫌,1
,環境輸了,1
,好消息,1
,宜蘭人,1
,有些研究報告說同性家庭很適合撫養子女,1
,在京訪民追問,1
,印度石油大亨布局車用鋰電池市場,1
,aqi新制上路,1
,涉煽顛,1
,孟加拉法庭判處兩名戰爭罪犯死刑,1
,強冠黑心油判賠,1
,環團直指礦業法,1
,讓交通接軌永續,1
,法官學院場,1
,巴黎協定今生效,1
,重現愛河,1
,你知道我們身上的衣服正在污染海洋嗎,1
,不敢期待新政府,1
,屏縣邀畜牧業投入綠能發電,1
,環署新設化學局能把關食安,1
,點下去了,1
,開始招生囉,1
,希望團結各界,1
,加嚴,1
,壽豐光復全雙軌,1
,勝利,1
,推薦訂閱,1
,能源篇,1
,amazon再生能源使用仍落後,1
,天地,1
,苗縣11小學,1
,行政部主任,1
,瓊臺兩岸熱情紀念東坡誕辰980周年,1
,蒙古族人權活動家,1
,埔里媽祖文化節,1
,阻止兼任教師適用勞基法,1
,德國性自主罪章之修正經驗借鏡,1
,環保署駁回,1
,馬英九也沒抗議,1
,媽媽教你回家過年的備戰守則,1
,以大地之愛航行地球,1
,檢察官評鑑,1
,看守台灣論壇,1
,促北京維護自由和權利,1
,疑取獅骨做壯陽藥,1
,等到隻假哭的鱷魚,1
,親子議題聊天會,1
,綠能的選擇題,1
,三歲的孩子會自己掃地嗎,1
,香港親北京建制派再次醞釀,1
,小康的願望,1
,sales,1
,20161105,1
,有多近,1
,20161106,1
,敬請期待,1
,連台大都有份,1
,濕地法,1
,丹大布農部落人文生態輕旅行,1
,政策加持,1
,性愛三部曲最終曲,1
,未來評估中,1
,數位知能培力課程二,1
,伊力哈木,1
,愛心超標,1
,全民遭殃,1
,突破一中,1
,手繪記實,1
,廣州天河法院投訴多省律師,1
,世界最大氣候移民,1
,日不落,1
,陰莖猥褻,1
,交大帶頭砍半,1
,繁体中文版by,1
,青年拒砍七天假,1
,立院衛環委員會闖關,1
,請拭目以待,1
,伊拉克聯軍收復摩蘇爾城,1
,全國最美校樹,1
,工會為什麼重要,1
,媒體嚴守自律機制,1
,洩密案判決無罪有道理嗎,1
,小心吃上官司,1
,電業法亂修全民遭殃記者會,1
,業者反問夏季缺電怎解,1
,大遊行12,1
,為海龜找生路,1
,海洋健康警訊,1
,政府不評論,1
,學界發起連署,1
,跨國企業分享擁抱多元經驗,1
,每個人都盼望愛與接納,1
,落實兩公約及結論性意見參考資料,1
,批日本海關允,1
,蔣萬安選台北市長,1
,原生野菜不容忽視,1
,大學生的菜計畫,1
,20170528,1
,拒絕ngo參與,1
,美狩獵團體遊說川普放寬保育措施,1
,呼籲台中市政府積極介入,1
,環保團體橫渡濁水溪,1
,毒品吸到飽,1
,為黑琵來台創新高喜訊添隱憂,1
,口感堪比真蝦,1
,熱線南辦熟男聊天室,1
,回應司法院5月4日新聞稿聲明,1
,勞軍捐,1
,完結篇,1
,yahoo一日志工,1
,護樹貴婦教柯文哲怎麼玩香港,1
,論述的實踐,1
,張海濤二審不開庭,1
,從工會試行翻轉職場,1
,村民被警帶走,1
,讓有心破壞者用此來作為釣魚工具,1
,wen,1
,孟加拉完成第一位巴基斯坦軍人戰爭罪行調查報告,1
,海洋快不能呼吸,1
,中低所得國家,1
,嬡拉蕾愛聊天,1
,開放原民獵瀕危穿山甲,1
,從贛州到巴黎,1
,環署2020禁用塑膠微粒,1
,第五分組第六次會議,1
,上半年度活動來囉,1
,盼發展建設性關係,1
,核一廠除役計畫暨乾式貯存設施訪查活動發言單,1
,非洲25國年損8億觀光財,1
,印尼雨林的無聲吶喊,1
,台灣人權促進會將在台塑麥寮石化工業的所在地舉辦,1
,0323修法前夕急偷渡,1
,體系暴力,1
,2016熱線愛滋小組義工招募培訓工作坊,1
,掌握非營利l數位工具利用新動態,1
,用我的案子讓大家了解司法,1
,南星自貿港區開發爭議,1
,基層教師如何回應反同勢力分享會,1
,當原民智慧遇上科學研究,1
,大學校長跟教育部到底在怕什麼,1
,2016年10月19日,1
,侵犯自由,1
,環團衝撞要求共同拜會,1
,事業放流水監測資訊即時上網公開,1
,20170221人本教育基金會,1
,雞精變蜆精,1
,中部,1
,環委建議后里廢軍區開放為森林公園,1
,苦等五十年,1
,太平洋多元文化精彩解密,1
,桌球賽變中國台北隊,1
,我要零廢棄,1
,之,1
,非基改店家推薦打卡,1
,最環保,1
,20170113,1
,從永達案看高教問題,1
,檢察一體,1
,還是教育部積極推廣同志養成教育的結果,1
,全國招募3000警察,1
,陽光底下的陰影,1
,訴訟案件進度追蹤報告,1
,環境教育法,1
,起步來思考接下來的目標與朝向目標的策略,1
,跳tone講座,1
,救救蔡英文,1
,同志市場開講,1
,減重飲食新發現,1
,人權律師江天勇長沙探709家屬後失聯人權律師江天勇長沙探709家屬後失聯,1
,緊急,1
,吃出環境永續,1
,前導片,1
,這是我們的基地,1
,定位,1
,湛藍琵琶湖活水注入不絕,1
,德瑪汶產業盈餘回饋部落,1
,創意再造零浪費美味,1
,二二八70週年,1
,在京訪民國慶期間打橫幅,1
,河川景觀工程,1
,顧健康,1
,作家劉逸明被永久封號,1
,流亡藏人展開活動抗議,1
,掛勾貪污比例最高,1
,18截止,1
,冬至團聚,1
,中國電影法拍板,1
,台灣人同意維持現狀,1
,掛名的學術圈生態,1
,家結愉快,1
,廢清法修正完成,1
,中國異議青年溫起鋒六月偷渡台灣欲尋求政治庇護,1
,不得和,1
,小心犯了以偏概全的毛病,1
,不再恐同,1
,表揚大會,1
,曇花一現的空中留螢,1
,中國仍倒數,1
,20170421人本教育基金會新聞稿,1
,要世代傳承,1
,較會嘗試當同性戀,1
,中掙扎,1
,看看波帕爾事故帶給我們的啟示,1
,我們學習與彼此相處,1
,山東濰坊案被告張婉荷刑滿獲釋卻變取保,1
,2016兩岸華人金媒獎暨兩岸新聞報導獎頒獎典禮,1
,引國際環團反對聲浪,1
,工會研究報告,1
,人民的司法,1
,後菸葉時代的希望,1
,望年產36萬噸石膏,1
,過關,1
,認真對待公約,1
,cop22能源日談轉型,1
,哥倫比亞前總統想以公投改變和平協議,1
,合法合理合情,1
,中文動論壇,1
,誠摯邀請您蒞臨參觀,1
,台塑六輕一案未提,1
,政府束手無策,1
,俄不怕中國競爭,1
,尊重孩子網路空間,1
,萬金石馬拉松,1
,ing,1
,六四酒案,1
,保育類珊瑚來不及長大,1
,trials,1
,流亡富翁郭文貴被facebook短時禁言,1
,韓國公司焚燒印尼雨林,1
,樹,1
,你想要什麼樣的公園,1
,致,1
,官民紀念西藏婦女抗暴日,1
,105年度捐款收據寄送事宜,1
,第二屆兩岸媒體人北京峰會系列報導之四,1
,找電防爐心熔毀,1
,促釋放村民過中秋,1
,把買電自由還給全民,1
,押返蓬萊,1
,ê,1
,22年前就有的教訓,1
,保護印尼雨林,1
,羈押法制出了什麼問題,1
,海洋吸塵器,1
,扌合生態廚房,1
,時薪月薪調漲不脫勾,1
,北宜直鐵,1
,全民司改運動,1
,反迫遷,1
,赴核災區實測輻射遭衛福部駁,1
,公督盟評鑑十年,1
,世界新聞自由度十年最低,1
,稀土撐出節能技術,1
,是把漏洞百出的破傘,1
,江天勇律師父母遭當局監控,1
,空汙防制未提減煤,1
,小英將與各國元首,1
,2016華人新聞界藝術創作聯展暨兩岸名家邀請展,1
,賈葭,1
,凸顯黨國問題,1
,香港政黨設立街站,1
,顧好環境是國事,1
,中紀委,1
,你必須誠實面對自己的極限,1
,市場會說話,1
,親密關係與醫療侵權位居一二,1
,要求當局盡快公布雷洋案真相,1
,空污罰緩將加重,1
,富邦人壽舉辦,1
,現約篩檢,1
,周世鋒家屬申請會見被拒,1
,以人為本,1
,新南向政策第1年,1
,海溫上升破壞珊瑚礁,1
,論大有為政府對李明哲事件應有的作為,1
,官稱為了,1
,面對生活的逼問,1
,掌握r,1
,看得見與看不見的垃圾,1
,恭賀新禧,1
,同性婚姻的關鍵在事實調查結果,1
,大武森雞,1
,熱線是同志生命線這事對我而言千真萬確,1
,鏖戰6年打回原點,1
,定期力挺青少年,1
,217國共識,1
,透視永續轉型的三種層次,1
,成長率大幅領先人口出生率,1
,陳水扁錄音,1
,數百村民打砸工廠數十人被捕,1
,掌握綠色,1
,凍土融化,1
,台中南海觀音寺撤銷開發聲明稿,1
,這山,1
,邁向無色的公民社會,1
,反空污要健康,1
,擱淺亡,1
,美國賣f35給台灣,1
,難民與無國籍者,1
,勞陣,1
,國民黨自取其辱,1
,禽獸的為難,1
,中國幫川普上了堂歷史課,1
,是褪變的開始,1
,靈鷲山貢寮道場環評踩煞車,1
,2017年第一期彩虹台灣手語班開始接受報名,1
,台灣麥當勞還在騙消費者使用動福蛋,1
,李晏榕律師,1
,美濃農會帶頭實踐里山精神,1
,爭平等,1
,無盡藏,1
,從親海到愛海,1
,民間司改會聲明,1
,欲加入者,1
,替全球暖化減0,1
,文史團體,1
,十年內族群銳減30,1
,六中全會登場,1
,大推,1
,香港議員批評,1
,2015年7月,1
,我曾經是同志,1
,添變數,1
,5減量全國最優,1
,立委提,1
,唇寒齒亡的時刻,1
,活化腦部功能不衰退,1
,為何我們還要談能源轉型,1
,彰化居民抗議經濟部袒護財團,1
,聯合國淨海計畫,1
,人與自然永續的課題,1
,work,1
,一切從哪裡開始,1
,柯,1
,女性影展,1
,六年記一段尋熊情,1
,塔拉探險船到基隆,1
,人民來改革,1
,潛水打魚,1
,紅害,1
,明天,1
,殭屍,1
,二個台灣,1
,不開路也有活路,1
,快樂不用買,1
,雲彰地方人權工作坊,1
,祝福基金會全體志工大吉大利迎新年,1
,20170326,1
,擋下一座核電廠之後,1
,雞蛋裡的戴奧辛來源還查不到,1
,教過學生達上萬,1
,原民會主委首度上火線辯護狩獵權,1
,朝野協商透明化,1
,自然乾旱威力有多強,1
,蔡志浩,1
,時代更迭,1
,斷網情緒不ng,1
,offshore,1
,精,1
,新北市青年社會住宅,1
,作肥發電可免繳,1
,生活的滋味,1
,代發新聞稿,1
,綠繪本親子故事列車,1
,照服員進階北區,1
,同性婚姻草案,1
,蟹媽媽冒險記,1
,批台電管理鬆散才喊缺電,1
,蠻野心足感恩茶會義賣畫作目錄,1
,無法挽救稻農收益,1
,落實動物福利,1
,義美食品總經理主講,1
,郭華仁,1
,order,1
,office,1
,2016全球百大綠色旅遊地,1
,初審尚無共識,1
,婚姻制度會變得如何,1
,倚賴燃煤發電,1
,不僅是美,1
,加深,1
,全面禁止非官方宗教活動,1
,港議員宣誓案,1
,105年日照中心主管實務專題工作坊,1
,律師制度改革,1
,一段探索內心和平的旅程,1
,日常對話,1
,富含微量元素可當,1
,擋一天省5000萬,1
,人與自然有多遠,1
,保育志工抵制成功全紀錄,1
,香港維權律師關注組織參與,1
,美加挺台參加wha,1
,無視,1
,重讀台灣關係法,1
,杭州城直升機盤旋及武警巡邏,1
,魚線,1
,放映會與田孟淑女士,1
,東部觀光政策環評座談陸續開跑,1
,一審無罪,1
,掩埋物質有引發矽肺病之虞,1
,或許當吾人對這些指標有了一點初步概念後,1
,山東維權人士趙未被軟禁賓館,1
,冰封南極正悄悄變綠,1
,居住在,1
,同治國家環島系列講座,1
,連線全球反孟山都,1
,關注,1
,基本工資立刻調漲,1
,無信賴保護可言,1
,當過女同志的媽媽,1
,北京18公民宣布參加區縣鄉人大代表選舉,1
,環署推加油站土污保險,1
,衛生紙要丟馬桶,1
,人居三,1
,警總,1
,立委怒,1
,全國特殊有害廢棄物處理中心,1
,e_info,1
,再次有負期許,1
,綠委爆,1
,許厝分校學童該到何處上課,1
,中國兩會召開當局嚴陣以待,1
,不具本職,1
,環署駁回台化彰化廠,1
,中科三期續審環評,1
,審慎因應,1
,頒獎典禮kap座談,1
,全台巡迴講座,1
,311遊行,1
,環團批電業自由化無望,1
,年,1
,關鍵時刻,1
,薛瑞福,1
,盧昱宇,1
,跨境犯法,1
,反響熱烈數百人參與簽名,1
,美獸醫院,1
,活動被叫停,1
,高市府請務必努力,1
,溫室氣體變身再生能源,1
,台灣再曝,1
,吳煜宗教授發言,1
,保護淨水廠,1
,跨性別主題討論會,1
,阻油管搶水,1
,命運來敲門,1
,refugee,1
,肉食代價,1
,群策群力防沙蜥,1
,夏威夷州擬禁含二苯甲酮防曬品,1
,凸顯最矛盾的,1
,熊蜂首入美國瀕危物種法,1
,ngotechreport,1
,展覽,1
,爭了10年,1
,果衡量上能考慮採用此類普徧性的比較標準,1
,不難,1
,在高牆舞蹈,1
,網絡空間收窄,1
,八大重點總整理,1
,無法止渴,1
,認賊作父,1
,二合一藥物效果一樣好,1
,總統府前呼籲,1
,日本生產者與消費者如何對食物輻射污染達成共識,1
,goliaths,1
,台灣近海未禁流刺網,1
,妻子被迫離職,1
,攜手揭幕長十一公尺高二點五公尺的巨型,1
,力挺財政部捍衛彰銀廣大股東,1
,廣西北海市白虎頭村再遭強拆,1
,粉紅色的小花,1
,我反對廢除一夫一妻婚姻制度,1
,只要學會這九招,1
,課綱微調政府資訊公開案,1
,ours訊息,1
,週報,1
,第三屆理監事當選名單,1
,ktv,1
,水是人權,1
,推動公共托育,1
,沒有,1
,法制晚報,1
,鹿港今秋玩藝術,1
,溝通是民主社會的基石,1
,婦聯會講不清的,1
,重審勞基法修正案,1
,登山包百元借回家,1
,香港公民黨呼吁中國當局釋放維權人士,1
,獨家,1
,彰化環保聯盟為彰化海岸請命,1
,台灣首次聲景音樂會,1
,結婚是兩個人的事,1
,迎戰熱浪,1
,hour地球一小時,1
,第891期,1
,談如何面對死亡與告別式,1
,遠離憂鬱負能量,1
,等於一無所有,1
,也納入生物可分解塑膠,1
,恐與阿茲海默症有關,1
,從林務局做起,1
,號召,1
,brandedshortdomain,1
,106年度適齡兒童電視節目標章,1
,陪孩子走過情緒高峰,1
,黑龍江孕婦訪民遭封口捆綁遣返,1
,城市能否永續,1
,年薪僅1元,1
,敘利亞糧食生產瀕臨崩潰,1
,19座大型爐改良再延役,1
,環署祭管理辦法,1
,排除私有地惹議,1
,移民署長否認,1
,梁游宣誓案審結後安排補選,1
,港7警遭判刑,1
,黨媒暗示習近平將靠向集權,1
,結束靜坐,1
,我們支持婚姻平權,1
,埋下,1
,日本高教商品化趨勢之變遷,1
,河北保定強征土地爆發衝突多人受傷,1
,當農民的無奈碰上市民的恐懼,1
,綠色皇冠,1
,你所看過最完整的同性婚姻就事論事脈絡分析總整理,1
,嵩山梯田保衛戰之北六團守護活動,1
,資訊真偽辨識多一重,1
,愛心舊電器,1
,種樹的詩人,1
,紀錄,1
,遭拘留,1
,夜空捕蚊燈,1
,被車壓扁的唐吉訶德,1
,法案倒退修法,1
,打造城市水庫,1
,有fb,1
,尤里西斯的翅膀,1
,棄核轉煤,1
,全球最大旅遊網站tripadvisor跟進,1
,習核心,1
,瀕危滇南綠孔雀,1
,溫國彰,1
,一中,1
,被中國當局羈押超過1年的美國公民潘婉芬被控間諜罪,1
,稻草護沙,1
,液晶電視盒,1
,30多國做到了,1
,上線,1
,從宜蘭看台灣美術,1
,請大家支持無泡泡洗身刷牙,1
,'ω',1
,中國使館前道路改名,1
,設計創作養分源自,1
,全台首例,1
,歡迎報名,1
,沒通知關西機場,1
,只差一天,1
,水的秘密基地,1
,加入會員,1
,巨鼠尖兵報到,1
,雨傘運動領袖上泰國,1
,民批,1
,台中黎明幼兒園仍面臨強拆,1
,紫爆十天環署無作為,1
,不經意的贊助,1
,綠能建設243億預計帶動民間14,1
,紀錄片放映及座談會澎湖場,1
,26日審婚姻平權,1
,基督信仰與我,1
,希望從透過調研了解ngo在選擇數位工具過程中面臨了哪些問題,1
,海洋能,1
,自己的攤子自己收,1
,希望提供ngo在挑選團隊協作工具時,1
,全球新聞自由排名,1
,違法問題依然嚴重,1
,7個台灣,1
,台電仍將壟斷市場,1
,葉望輝抨擊美中政策荒謬,1
,宋若在apec反台獨,1
,中華新聞記者協會拜會吉林日報報業集團,1
,跟上地球的節奏,1
,送給校董還是改善高教,1
,警方抓捕民眾引發公憤,1
,2016華人新聞界藝術創作聯展即將開展,1
,化學局,1
,草案6月底才會送政院,1
,美報告指台灣外勞遭剝削,1
,105年度下半年適齡兒童電視節目人氣獎票選,1
,都市危險及老舊建築物加速重建獎勵條例,1
,淺析,1
,方儉反控林奏延偽造公文,1
,照顧土地也保農友健康,1
,第二十三期專題徵稿啟事,1
,中市區域計畫政策環評作結,1
,保證不受開發滋擾,1
,稱洪只談和平政綱,1
,救命糧,1
,同性婚姻入法應停止審查交付公投,1
,孩子的圍爐夢需要你參與,1
,抗議北京釋法,1
,黃之鋒,1
,工會誠摯邀請每位兼任教師夥伴加入我們的行列,1
,公益圈,1
,五溝水水草日,1
,第四分組第一次會議,1
,中共十九大前大換血,1
,就啟動因應措施,1
,將會稍作調整,1
,台灣就不減碳了嗎,1
,應立法保障遊民人權,1
,台立委籲台塑兌現承諾,1
,應擴大監測,1
,新設立三海洋保護區,1
,湖北訪民伍立娟,1
,豆,1
,日船闖澳海洋保護區,1
,先動工再徵收,1
,npo線上指標報告吧,1
,彩虹在菊島20161005,1
,劉曉波岳母過世,1
,王聖文,1
,環評子法又修一波,1
,大城鄉居民尿液重金屬含量高,1
,國民黨大砍433名黨工,1
,高市本洲園區環差案需補件重算,1
,東京巨蛋有一套,1
,南市府將展開重金屬總量管制,1
,放過蝙蝠吧,1
,聯合聲明2017年2月20日,1
,綠盟ｘ無我,1
,反對財團及禿鷹染指,1
,不只是校園一景,1
,臺北榮星花園公園棲地維護紀實,1
,亞太青少年人權高峰會,1
,紀錄環保先鋒的故事,1
,你所不知道的夏林清與她的性解放小夥伴們,1
,龜殼花,1
,副總統帶頭海岸種樹,1
,盜獵集團盯上,1
,學生突襲民進黨,1
,若爾蓋兩僧被捕後至今失蹤,1
,40年遍訪多摩川流域,1
,環署統計資料鬧雙胞,1
,設定可辨識的自家網域短名稱,1
,霸權的體現,1
,四川打壓追查訪民楊天直死亡真相,1
,我所看到的台灣外交,1
,台灣環境雙週刊第99期,1
,用綠能建立希望,1
,身份,1
,nii,1
,外交部抨西班牙不友善,1
,看不到我國低碳未來,1
,liangyichang,1
,槓上石化業,1
,地球日崔媽媽環保新主張,1
,3月18日晚上九點,1
,嘉義三鄉反對,1
,一名大陸游客披露青海和四川藏區現狀,1
,20161209新聞稿,1
,警察先生也很關心,1
,818,1
,媒體是在守門還是鬧事,1
,塑膠纖維的故事,1
,那些為之不懈努力的人,1
,epa,1
,江西殺村官案明經國兒子被監控,1
,中央和地方應方堅持方向,1
,釀人災,1
,2017年兒童專案計畫全國共識營,1
,20170309,1
,波士尼亞政治受害人出席紀念戰時集中營的受難者,1
,20170305,1
,macquarie,1
,wha開幕,1
,盧比奧發表演講聲援中國維權律師,1
,千架風機恐成白海豚詛咒,1
,105年度下半年適齡兒童電視節目評選結果公佈記者會採訪通知,1
,假合法真佔地,1
,中國記協訪問團來台,1
,暑期親子夏令營,1
,甘肅拉卜楞寺兩僧人被控向境外透露自焚信息遭判刑,1
,外星人也歡迎,1
,北市草擬宜居永續自治條例,1
,太陽能全球成長50,1
,紀錄嘉義分會推師空汙培訓,1
,拆穿歐欣掩埋場的真面目三部曲,1
,香港調查學歷造假犯罪,1
,七股潟湖的漁業與觀光,1
,外婆的食譜,1
,禁吃貓,1
,的進路,1
,性傾向迴轉治療禁止,1
,npo如何憑藉數據來解決社會問題,1
,訪客,1
,花蓮講座,1
,北檢調查摔傷原因,1
,中國農村留守兒童數量902萬,1
,30周年相關行動,1
,樂觀其成,1
,警稱,1
,equalitylabs,1
,一齡鳥,1
,守護地球極北的翠綠,1
,我國對精神疾病犯罪者的處遇準備好了嗎,1
,轉大人,1
